id,issue_id,contributor_id,role_id,order
353,137,73,2,2
354,138,72,1,1
355,138,73,1,2
356,138,74,2,1
357,138,73,2,2
358,139,72,1,1
359,139,74,2,1
360,140,72,1,1
361,140,74,2,1
362,141,72,1,1
363,141,74,2,1
364,142,72,1,1
365,142,74,2,1
366,143,72,1,1
367,143,74,2,1
368,144,57,1,1
369,144,65,2,1
370,145,57,1,1
371,145,65,2,1
372,146,57,1,1
373,146,65,2,1
374,147,57,1,1
375,147,65,2,1
376,148,57,1,1
377,148,65,2,1
378,149,57,1,1
379,149,65,2,1
380,150,57,1,1
381,150,14,2,1
382,150,30,2,2
383,150,15,3,1
384,151,57,1,1
385,151,44,2,1
386,151,15,3,1
387,152,57,1,1
388,152,44,2,1
389,152,37,4,1
390,153,43,1,1
391,153,43,2,1
392,154,75,1,1
393,154,25,1,2
394,154,31,2,1
395,155,76,1,1
396,155,77,2,1
397,156,76,1,1
398,156,77,2,1
399,156,31,4,1
400,157,76,1,1
401,157,57,2,1
402,158,76,1,1
403,158,44,2,1
404,159,75,1,1
405,159,44,2,1
406,159,78,3,1
407,160,65,1,1
408,160,65,2,1
409,161,65,1,1
410,161,65,2,1
411,162,65,1,1
412,162,65,2,1
413,163,65,1,1
414,163,65,2,1
415,164,65,1,1
416,164,65,2,1
417,165,30,1,1
418,165,65,2,1
419,166,30,1,1
420,166,65,2,1
421,167,30,1,1
422,167,79,2,1
423,168,30,1,1
424,168,80,2,1
425,168,47,2,2
426,169,30,1,1
427,169,80,2,1
428,170,30,1,1
429,170,80,2,1
430,171,81,1,1
431,171,81,2,1
432,172,81,1,1
433,172,81,2,1
434,173,75,1,1
435,173,25,2,1
436,174,75,1,1
437,174,25,1,2
438,174,25,2,1
439,175,75,1,1
440,175,25,2,1
441,176,75,1,1
442,176,25,2,1
443,176,25,4,1
444,177,75,1,1
445,177,25,2,1
446,177,25,4,1
447,178,75,1,1
448,178,25,2,1
449,178,25,4,1
450,179,75,1,1
451,179,25,2,1
452,179,25,4,1
453,180,75,1,1
454,180,25,2,1
455,180,25,4,1
456,181,75,1,1
457,181,25,2,1
458,181,25,4,1
459,182,75,1,1
460,182,25,2,1
461,182,25,4,1
462,183,75,1,1
463,183,25,2,1
464,183,25,4,1
465,184,75,1,1
466,184,25,2,1
467,184,17,2,2
468,184,25,4,1
469,185,75,1,1
470,185,25,2,1
471,185,25,4,1
472,186,75,1,1
473,186,25,2,1
474,186,25,4,1
475,187,75,1,1
476,187,25,2,1
477,187,25,4,1
478,188,75,1,1
479,188,25,2,1
480,188,25,4,1
481,189,75,1,1
482,189,25,2,1
483,189,25,4,1
484,190,75,1,1
485,190,25,2,1
486,190,25,4,1
487,191,75,1,1
488,191,17,2,1
489,191,82,4,1
490,192,76,1,1
491,192,80,2,1
492,193,75,1,1
493,193,83,2,1
494,193,84,2,2
495,194,75,1,1
496,194,83,2,1
497,195,75,1,1
498,195,83,2,1
499,196,75,1,1
500,196,83,2,1
501,197,75,1,1
502,197,83,2,1
503,198,75,1,1
504,198,83,2,1
505,199,75,1,1
506,199,83,2,1
507,200,75,1,1
508,200,83,2,1
509,201,75,1,1
510,201,83,2,1
511,202,75,1,1
512,202,83,2,1
513,203,75,1,1
514,203,83,2,1
515,204,75,1,1
516,204,83,2,1
517,205,75,1,1
518,205,83,2,1
519,206,7,1,1
520,206,85,2,1
521,207,7,1,1
522,207,85,2,1
523,208,86,1,1
524,208,87,2,1
525,208,88,3,1
526,209,86,1,1
527,209,89,2,1
528,209,88,3,1
529,210,90,1,1
530,210,12,2,1
531,210,15,3,1
532,210,9,4,1
533,210,44,4,2
534,211,90,1,1
535,211,12,2,1
536,211,15,3,1
537,211,9,4,1
538,212,90,1,1
539,212,12,2,1
540,212,15,3,1
541,213,57,1,1
542,213,91,2,1
543,213,60,2,2
544,213,29,2,3
545,214,57,1,1
546,214,91,2,1
547,214,91,3,1
548,214,60,3,2
549,215,57,1,1
550,215,91,2,1
551,216,57,1,1
552,216,91,2,1
553,217,57,1,1
554,217,91,2,1
555,218,57,1,1
556,218,91,2,1
557,219,57,1,1
558,219,91,2,1
559,220,57,1,1
560,220,91,2,1
561,221,90,1,1
562,221,12,2,1
563,221,15,3,1
564,221,9,4,1
565,221,44,4,2
566,222,90,1,1
567,222,12,2,1
568,222,15,3,1
569,222,9,4,1
570,222,44,4,2
571,223,90,1,1
572,223,12,2,1
573,223,15,3,1
574,224,38,1,1
575,224,29,2,1
576,225,30,1,1
577,225,29,2,1
578,226,30,1,1
579,226,29,2,1
580,227,30,1,1
581,227,29,2,1
582,228,30,1,1
583,228,29,2,1
584,229,30,1,1
585,229,29,2,1
586,230,30,1,1
587,230,29,2,1
588,231,30,1,1
589,231,29,2,1
590,232,30,1,1
591,232,29,2,1
592,233,30,1,1
593,233,29,2,1
594,234,30,1,1
595,234,29,2,1
596,235,92,1,1
597,235,91,2,1
598,236,65,1,1
599,236,65,2,1
600,236,17,2,2
601,237,65,1,1
602,237,18,2,1
603,238,65,1,1
604,238,18,2,1
605,239,65,1,1
606,239,65,2,1
607,240,65,1,1
608,240,65,2,1
609,241,65,1,1
610,241,93,2,1
611,242,1,1,1
612,242,65,2,1
613,243,1,1,1
614,243,65,2,1
615,244,1,1,1
616,244,65,2,1
617,245,1,1,1
618,245,65,2,1
619,246,94,1,1
620,246,81,2,1
621,246,4,4,1
622,246,9,4,2
623,247,94,1,1
624,247,81,2,1
625,247,4,3,1
626,247,9,3,2
627,248,25,1,1
628,248,25,2,1
629,249,25,1,1
630,249,25,2,1
631,250,25,1,1
632,250,25,2,1
633,251,25,1,1
634,251,25,2,1
635,252,25,1,1
636,252,25,2,1
637,253,25,1,1
638,253,25,2,1
639,254,25,1,1
640,254,25,2,1
641,255,38,1,1
642,255,31,2,1
643,255,95,2,2
644,256,38,1,1
645,256,31,2,1
646,257,38,1,1
647,257,96,2,1
648,257,31,2,2
649,258,38,1,1
650,258,97,2,1
651,258,96,2,2
652,259,38,1,1
653,259,98,2,1
654,260,38,1,1
655,260,94,1,2
656,260,53,2,1
657,260,69,3,1
658,261,71,1,1
659,261,30,2,1
660,261,85,3,1
661,262,99,1,1
662,262,81,2,1
663,262,100,3,1
664,263,38,1,1
665,263,65,2,1
666,264,38,1,1
667,264,18,2,1
668,265,38,1,1
669,265,93,2,1
670,266,38,1,1
671,266,25,2,1
672,267,38,1,1
673,267,25,2,1
674,268,30,1,1
675,268,25,2,1
676,268,31,2,2
677,269,72,1,1
678,269,101,1,2
679,269,74,2,1
680,269,102,3,1
681,270,72,1,1
682,270,101,1,2
683,270,74,2,1
684,270,102,3,1
685,271,72,1,1
686,271,101,1,2
687,271,74,2,1
688,271,102,3,1
689,272,103,1,1
690,272,101,1,2
691,272,74,2,1
692,272,102,3,1
693,273,103,1,1
694,273,101,1,2
695,273,74,2,1
696,273,102,3,1
697,274,103,1,1
698,274,101,1,2
699,274,74,2,1
700,274,104,2,2
701,274,102,3,1
702,275,103,1,1
703,275,101,1,2
704,275,74,2,1
705,275,104,2,2
706,275,102,3,1
707,276,103,1,1
708,276,101,1,2
709,276,74,2,1
710,276,102,3,1
711,277,103,1,1
712,277,101,1,2
713,277,74,2,1
714,277,104,2,2
715,277,102,3,1
716,278,30,1,1
717,278,65,2,1
718,279,30,1,1
719,279,65,2,1
720,280,30,1,1
721,280,65,2,1
722,280,18,2,2
723,281,30,1,1
724,281,18,2,1
725,281,69,3,1
726,282,38,1,1
727,282,31,2,1
728,283,38,1,1
729,283,31,2,1
730,284,38,1,1
731,284,31,2,1
732,285,38,1,1
733,285,31,2,1
734,286,38,1,1
735,286,83,2,1
736,286,31,2,2
737,287,105,1,1
738,287,14,2,1
739,288,105,1,1
740,288,14,2,1
741,289,105,1,1
742,289,65,2,1
743,290,57,1,1
744,290,53,2,1
745,290,69,3,1
746,290,75,4,1
747,291,57,1,1
748,291,53,2,1
749,291,69,3,1
750,291,75,4,1
751,292,80,1,1
752,292,53,2,1
753,292,69,3,1
754,293,57,1,1
755,293,53,2,1
756,293,69,3,1
757,293,75,4,1
758,294,57,1,1
759,294,53,2,1
760,294,69,3,1
761,294,75,4,1
762,295,57,1,1
763,295,53,2,1
764,295,69,3,1
765,295,75,4,1
766,296,57,1,1
767,296,53,2,1
768,296,69,3,1
769,297,57,1,1
770,297,53,2,1
771,297,69,3,1
772,298,57,1,1
773,298,53,2,1
774,298,69,3,1
775,299,57,1,1
776,299,53,2,1
777,299,69,3,1
778,300,57,1,1
779,300,53,2,1
780,300,69,3,1
781,301,57,1,1
782,301,53,2,1
783,301,69,3,1
784,302,57,1,1
785,302,53,2,1
786,302,69,3,1
787,303,57,1,1
788,303,53,2,1
789,303,69,3,1
790,304,57,1,1
791,304,53,2,1
792,304,69,3,1
793,305,57,1,1
794,305,53,2,1
795,305,69,3,1
796,306,57,1,1
797,306,53,2,1
798,306,69,3,1
799,307,57,1,1
800,307,53,2,1
801,307,69,3,1
802,308,57,1,1
803,308,53,2,1
804,308,69,3,1
805,309,57,1,1
806,309,53,2,1
807,309,69,3,1
808,310,57,1,1
809,310,53,2,1
810,310,69,3,1
811,311,57,1,1
812,311,53,2,1
813,311,69,3,1
814,312,57,1,1
815,312,53,2,1
816,312,69,3,1
817,313,57,1,1
818,313,53,2,1
819,313,69,3,1
820,314,57,1,1
821,314,53,2,1
822,314,69,3,1
823,315,57,1,1
824,315,53,2,1
825,315,69,3,1
826,316,57,1,1
827,316,53,2,1
828,316,69,3,1
829,317,57,1,1
830,317,53,2,1
831,317,69,3,1
832,318,57,1,1
833,318,53,2,1
834,318,69,3,1
835,319,57,1,1
836,319,53,2,1
837,319,69,3,1
838,320,57,1,1
839,320,106,2,1
840,320,69,3,1
841,321,57,1,1
842,321,107,2,1
843,321,48,2,2
844,321,69,3,1
845,322,57,1,1
846,322,14,2,1
847,322,69,3,1
848,323,57,1,1
849,323,14,2,1
850,323,15,3,1
851,324,57,1,1
852,324,14,2,1
853,324,15,3,1
854,325,57,1,1
855,325,14,2,1
856,325,15,3,1
857,326,57,1,1
858,326,14,2,1
859,326,15,3,1
860,327,57,1,1
861,327,14,2,1
862,327,15,3,1
863,328,57,1,1
864,328,14,2,1
865,328,15,3,1
866,329,57,1,1
867,329,14,2,1
868,329,15,3,1
869,330,57,1,1
870,330,30,2,1
871,330,15,3,1
872,331,57,1,1
873,331,30,2,1
874,331,15,3,1
875,332,57,1,1
876,332,14,2,1
877,332,108,4,1
878,333,57,1,1
879,333,14,2,1
880,333,4,4,1
881,334,109,1,1
882,334,109,2,1
883,334,30,3,1
884,334,109,3,2
885,335,109,1,1
886,335,30,2,1
887,335,109,3,1
888,336,109,1,1
889,336,30,2,1
890,336,109,3,1
891,337,53,1,1
892,337,53,2,1
893,337,53,3,1
894,337,30,4,1
895,338,53,1,1
896,338,53,2,1
897,338,53,3,1
898,339,53,1,1
899,339,53,2,1
900,340,109,1,1
901,340,109,2,1
902,340,30,2,2
903,340,109,3,1
904,341,109,1,1
905,341,109,2,1
906,341,30,2,2
907,342,109,1,1
908,342,109,2,1
909,342,30,2,2
910,343,109,1,1
911,343,109,2,1
912,343,30,2,2
913,344,110,1,1
914,344,30,2,1
915,344,15,3,1
916,345,30,1,1
917,345,30,2,1
918,345,13,3,1
919,346,6,1,1
920,346,30,2,1
921,346,48,3,1
922,347,111,1,1
923,347,30,2,1
924,347,100,3,1
925,348,111,1,1
926,348,30,2,1
927,348,100,3,1
928,349,30,1,1
929,349,112,2,1
930,350,99,1,1
931,350,30,2,1
932,351,30,1,1
933,351,30,2,1
934,351,15,3,1
935,352,113,1,1
936,352,30,2,1
937,352,15,3,1
938,353,30,1,1
939,353,30,2,1
940,353,15,3,1
941,354,30,1,1
942,354,30,2,1
943,354,15,3,1
944,355,30,1,1
945,355,30,2,1
946,356,6,1,1
947,356,30,2,1
948,357,6,1,1
949,357,30,2,1
950,358,37,1,1
951,358,30,2,1
952,359,114,1,1
953,359,30,2,1
954,360,30,1,1
955,360,30,2,1
956,361,30,1,1
957,361,30,2,1
958,361,115,4,1
959,362,1,1,1
960,362,116,2,1
961,362,30,3,1
962,362,8,4,1
963,362,117,4,2
964,363,1,1,1
965,363,7,2,1
966,363,30,3,1
967,364,1,1,1
968,364,116,2,1
969,364,30,2,2
970,364,30,3,1
971,364,8,4,1
972,364,117,4,2
973,365,30,1,1
974,365,48,2,1
975,365,30,3,1
976,365,9,4,1
977,366,30,1,1
978,366,7,2,1
979,366,30,3,1
980,367,94,1,1
981,367,30,2,1
982,367,31,2,2
983,367,30,3,1
984,367,30,4,1
985,368,6,1,1
986,368,12,2,1
987,368,34,3,1
988,369,6,1,1
989,369,118,2,1
990,369,34,3,1
991,370,6,1,1
992,370,81,2,1
993,370,6,3,1
994,370,9,4,1
995,371,6,1,1
996,371,118,2,1
997,371,6,3,1
998,371,119,4,1
999,371,9,4,2
1000,372,6,1,1
1001,372,118,2,1
1002,372,6,3,1
1003,372,120,4,1
1004,372,8,4,2
1005,373,6,1,1
1006,373,81,2,1
1007,373,6,3,1
1008,373,115,4,1
1009,374,6,1,1
1010,374,81,2,1
1011,374,6,3,1
1012,374,9,4,1
1013,375,6,1,1
1014,375,6,2,1
1015,375,34,3,1
1016,375,4,4,1
1017,376,121,1,1
1018,376,65,2,1
1019,377,121,1,1
1020,377,65,2,1
1021,378,43,1,1
1022,378,43,2,1
1023,378,88,3,1
1024,379,86,1,1
1025,379,43,2,1
1026,379,88,3,1
1027,380,86,1,1
1028,380,43,2,1
1029,380,88,3,1
1030,381,86,1,1
1031,381,43,2,1
1032,381,88,3,1
1033,382,86,1,1
1034,382,43,2,1
1035,382,88,3,1
1036,383,86,1,1
1037,383,43,2,1
1038,383,88,3,1
1039,384,86,1,1
1040,384,43,2,1
1041,384,88,3,1
1042,385,86,1,1
1043,385,43,2,1
1044,385,88,3,1
1045,386,86,1,1
1046,386,43,2,1
1047,386,34,3,1
1048,387,86,1,1
1049,387,43,2,1
1050,387,34,3,1
1051,388,86,1,1
1052,388,43,2,1
1053,388,34,3,1
1054,389,86,1,1
1055,389,81,2,1
1056,389,34,3,1
1057,390,86,1,1
1058,390,43,2,1
1059,390,34,3,1
1060,391,86,1,1
1061,391,43,2,1
1062,391,34,3,1
1063,392,86,1,1
1064,392,43,2,1
1065,392,34,3,1
1066,392,13,3,2
1067,393,86,1,1
1068,393,43,2,1
1069,393,15,3,1
1070,394,86,1,1
1071,394,57,2,1
1072,394,7,2,2
1073,394,13,3,1
1074,395,86,1,1
1075,395,7,2,1
1076,395,15,3,1
1077,396,86,1,1
1078,396,7,2,1
1079,396,15,3,1
1080,397,86,1,1
1081,397,6,2,1
1082,397,15,3,1
1083,398,86,1,1
1084,398,6,2,1
1085,398,15,3,1
1086,399,86,1,1
1087,399,7,2,1
1088,399,6,3,1
1089,399,122,4,1
1090,400,44,1,1
1091,400,44,2,1
1092,400,75,4,1
1093,401,44,1,1
1094,401,44,2,1
1095,401,70,3,1
1096,401,75,4,1
1097,402,44,1,1
1098,402,44,2,1
1099,402,75,4,1
1100,403,44,1,1
1101,403,44,2,1
1102,404,44,1,1
1103,404,44,2,1
1104,405,44,1,1
1105,405,44,2,1
1106,406,123,1,1
1107,406,123,2,1
1108,407,123,1,1
1109,407,123,2,1
1110,408,124,1,1
1111,408,48,2,1
1112,408,125,3,1
1113,409,124,1,1
1114,409,48,2,1
1115,409,125,3,1
1116,410,124,1,1
1117,410,48,2,1
1118,410,125,3,1
1119,411,124,1,1
1120,411,126,2,1
1121,411,125,3,1
1122,412,127,1,1
1123,412,12,2,1
1124,412,14,3,1
1125,412,128,4,1
1126,412,4,4,2
1127,413,127,1,1
1128,413,12,2,1
1129,413,14,3,1
1130,413,4,4,1
1131,414,127,1,1
1132,414,12,2,1
1133,414,14,3,1
1134,415,127,1,1
1135,415,12,2,1
1136,415,14,3,1
1137,415,4,4,1
1138,416,57,1,1
1139,416,30,2,1
1140,416,13,3,1
1141,417,25,1,1
1142,417,57,1,2
1143,417,30,1,3
1144,417,76,1,4
1145,417,14,2,1
1146,417,25,2,2
1147,417,30,2,3
1148,417,69,3,1
1149,417,14,3,2
1150,417,30,3,3
1151,418,56,1,1
1152,418,44,2,1
1153,418,56,3,1
1154,419,129,1,1
1155,419,129,2,1
1156,419,130,2,2
1157,419,131,4,1
1158,419,132,4,2
1159,420,129,1,1
1160,420,129,2,1
1161,420,130,2,2
1162,420,131,4,1
1163,420,132,4,2
1164,421,129,1,1
1165,421,129,2,1
1166,421,130,2,2
1167,421,131,4,1
1168,421,132,4,2
1169,422,129,1,1
1170,422,129,2,1
1171,422,131,4,1
1172,422,132,4,2
1173,423,129,1,1
1174,423,129,2,1
1175,423,132,4,1
1176,424,133,1,1
1177,424,30,2,1
1178,425,30,1,1
1179,425,30,2,1
1180,425,60,2,2
1181,425,125,3,1
1182,426,106,1,1
1183,426,106,2,1
1184,426,15,3,1
1185,427,106,1,1
1186,427,44,2,1
1187,428,106,1,1
1188,428,44,2,1
1189,428,43,3,1
1190,429,94,1,1
1191,429,30,2,1
1192,429,31,2,2
1193,429,30,3,1
1194,430,94,1,1
1195,430,30,2,1
1196,431,94,1,1
1197,431,30,2,1
1198,431,31,2,2
1199,431,30,3,1
1200,432,94,1,1
1201,432,134,2,1
1202,432,135,2,2
1203,432,134,3,1
1204,433,94,1,1
1205,433,30,2,1
1206,433,47,2,2
1207,433,31,2,3
1208,434,57,1,1
1209,434,136,2,1
1210,434,30,3,1
1211,435,57,1,1
1212,435,30,2,1
1213,436,30,1,1
1214,436,30,2,1
1215,437,30,1,1
1216,437,30,2,1
1217,437,137,3,1
1218,438,30,1,1
1219,438,30,2,1
1220,438,70,3,1
1221,439,30,1,1
1222,439,30,2,1
1223,440,30,1,1
1224,440,138,2,1
1225,441,30,1,1
1226,441,48,2,1
1227,442,30,1,1
1228,442,48,2,1
1229,443,30,1,1
1230,443,48,2,1
1231,444,71,1,1
1232,444,30,2,1
1233,444,48,3,1
1234,445,30,1,1
1235,445,48,2,1
1236,445,30,3,1
1237,446,30,1,1
1238,446,30,2,1
1239,447,30,1,1
1240,447,59,2,1
1241,447,30,3,1
1242,448,30,1,1
1243,448,139,2,1
1244,448,30,3,1
1245,449,1,1,1
1246,449,12,2,1
1247,449,88,3,1
1248,450,30,1,1
1249,450,30,2,1
1250,450,13,3,1
1251,451,30,1,1
1252,451,30,2,1
1253,451,13,3,1
1254,452,30,1,1
1255,452,30,2,1
1256,452,140,3,1
1257,453,30,1,1
1258,453,30,2,1
1259,453,13,3,1
1260,456,30,1,1
1261,456,30,2,1
1262,456,15,3,1
1263,457,30,1,1
1264,457,48,2,1
1265,457,59,3,1
1266,458,30,1,1
1267,458,30,2,1
1268,458,15,3,1
1269,459,30,1,1
1270,459,30,2,1
1271,459,15,3,1
1272,460,30,1,1
1273,460,30,2,1
1274,460,15,3,1
1275,461,75,1,1
1276,461,25,2,1
1277,461,18,2,2
1278,461,17,3,1
1279,462,75,1,1
1280,462,47,2,1
1281,462,57,2,2
1282,463,33,1,1
1283,463,33,2,1
1284,464,141,1,1
1285,464,141,2,1
1286,465,70,1,1
1287,465,44,2,1
1288,465,70,3,1
1289,466,30,1,1
1290,466,65,2,1
1291,467,142,1,1
1292,467,142,2,1
1293,468,142,1,1
1294,468,142,2,1
1295,469,142,1,1
1296,469,142,2,1
1297,470,82,1,1
1298,470,44,2,1
1299,471,82,1,1
1300,471,14,2,1
1301,471,30,2,2
1302,472,82,1,1
1303,472,44,2,1
1304,473,70,1,1
1305,473,70,2,1
1306,473,44,2,2
1307,473,70,3,1
1308,474,48,1,1
1309,474,48,2,1
1310,474,125,3,1
1311,475,30,1,1
1312,475,79,2,1
1313,476,69,1,1
1314,476,48,2,1
1315,476,15,3,1
1316,477,38,1,1
1317,477,31,2,1
1318,478,30,1,1
1319,478,30,2,1
1320,479,30,1,1
1321,479,30,2,1
1322,480,30,1,1
1323,480,30,2,1
1324,481,30,1,1
1325,481,30,2,1
1326,482,30,1,1
1327,482,30,2,1
1328,483,143,1,1
1329,483,107,2,1
1330,483,48,2,2
1331,483,34,3,1
1332,484,30,1,1
1333,484,30,2,1
1334,485,30,1,1
1335,485,30,2,1
1336,485,31,2,2
1337,486,7,1,1
1338,486,144,2,1
1339,486,34,3,1
1340,487,144,1,1
1341,487,145,2,1
1342,487,34,3,1
1343,488,30,1,1
1344,488,30,2,1
1345,489,1,1,1
1346,489,146,2,1
1347,489,30,3,1
1348,490,30,1,1
1349,490,30,2,1
1350,490,31,2,2
1351,491,147,1,1
1352,491,81,2,1
1353,491,3,3,1
1354,491,30,4,1
1355,492,30,1,1
1356,492,30,2,1
1357,492,31,2,2
1358,493,30,1,1
1359,493,148,2,1
1360,494,30,1,1
